Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half
74967cdda79c417b8ab64f869bcfafd4,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CC(C)O,0.5001,0.9563730000000004,0.0,0.9898827497298488,0.00035831372790726866,0.0011229033269570775,0.03333333333333333,0.04821932532357388,0.016098256942215488,-1.0511885388171365,0.5280410883384152,-0.2694284354771771,0.022335892743274466,-1.3999547862179607,-0.02112484815029635,-0.07476692173196521,0.19401122609576632,-0.1506218723023408,0.03831331903880611,-0.026784032864138538,0.11808599087174568
83c71ad91eb2428fb41bdf0090581913,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2,CC(C)O,0.8,0.8674040000000002,0.0,0.8949762052629793,0.00025953091348022365,0.0007602265030638523,0.03333333333333333,0.04821932532357388,0.010898820305188812,-0.5654642594403447,0.4513861945287562,-0.10516404633371854,-0.009488471752768351,-1.0394062518935028,-0.04328185690487144,-0.030338772221718175,0.03872488493334629,-0.04151413573718551,0.013931320243587635,0.005996236588504028,0.2463469334077313
e9352488fdff41d48249242a23255c44,299.15,101.3,2,CC(C)(C)O,0.2618,COC=O,0.7382,0.8891964273308677,0.0,0.955605067558019,0.00032589213566679793,0.00441010749681922,0.03333333333333333,0.04821932532357388,0.06322453760910474,-1.4853477354345523,0.5395861452849442,-0.8728162287948911,0.14131151204238115,-2.26953236677751,-0.08340368691708185,-0.4189694607215282,0.20920134708415203,-0.5480424061183266,0.026099226812779867,-0.029048250856980512,0.23564791848668398
f89fbde314ad4a919d1c5a42265c6aeb,299.15,101.3,2,CC(C)(C)O,0.5024,COC=O,0.4976,0.8409570497216361,0.0,0.8958790348440662,0.0002977218497194625,0.00301642444978843,0.03333333333333333,0.04821932532357388,0.04324430667692846,-2.304457988160855,0.7323626159552573,-0.40383589226253036,0.07285650960049073,-2.2308236256383593,-0.09147261963472814,-0.14619364268994828,0.1848162115408645,-0.24582957699534966,0.06678934084120594,-0.1193221004531988,0.16580896496187514
43e062c05d5c443ea9686a7f8fc9cc01,299.15,101.3,2,CC(C)(C)O,0.7581,COC=O,0.2419,0.8035019431958534,0.0,0.8485582033575633,0.00030754706940041925,0.00203006657975968,0.03333333333333333,0.04821932532357388,0.029103603690743288,-1.9648628063590552,0.6657968235823593,-0.10279194039994966,0.014675255907959121,-1.74962773803117,-0.16663468932061262,-0.037217584872096386,0.052039377194100636,-0.06377857860126725,-0.0037562599613031023,-0.026192711759810767,0.2814268030243428
f43a90ae27ae479896118e83070611ae,303.15,101.3,2,CC(C)(C)O,0.4973,CCCCOC(C)=O,0.5027,0.8266077003431636,0.0,0.8546666694257624,0.00023440684626231794,0.0007873057459782388,0.03333333333333333,0.04821932532357388,0.0112870359242642,-1.139712807945761,0.5588789426597466,-0.1468182835730182,-0.001356568903423926,-1.3211943759390292,-0.1075819072086563,-0.018844995437800403,0.10446888421814415,-0.07342678314090162,0.007761800639859027,-0.0018700088634476335,0.13258131705919257
1051462bef374aae8248154179ad5c8e,303.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,0.8504597383810222,0.0,0.8748018902958902,0.00023174907037129316,0.0005925403598465115,0.03333333333333333,0.04821932532357388,0.008494824739090462,-0.8844450952305847,0.44880244004149156,-0.17412171016004632,0.0016202499097416586,-1.0950610348906216,-0.08846307758341303,-0.06761286169495599,0.05517231804880605,-0.09966949492224982,-0.005964541662598518,-0.003897022356927441,0.043898208182685576
133ff32344f945b6bf350c87928f7115,303.15,101.3,2,CC(C)(C)O,0.7538,CCCCOC(C)=O,0.2462,0.8010966665339349,0.0,0.8323631415431999,0.0002830264977684568,0.000977592459504996,0.03333333333333333,0.04821932532357388,0.014015039603213654,-0.9338409160831922,0.6451191505697368,-0.08366630462050856,-0.007293782772952575,-1.372695711700912,-0.10543035280947921,-0.013075223994737527,0.04905794832087912,-0.03463142913121035,0.004172634975996353,0.014151152844865756,0.24309392198281315
9c1d832e5f4b432d96bd5c259ca49856,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2001,CCO,0.7999,0.8893660000000002,0.0,0.9086700455623429,0.0002866645031640271,0.00037264617507300153,0.03333333333333333,0.04821932532357388,0.00534236005081166,-0.5066760593536204,0.21808707462875015,-0.10668432488452485,-0.016127175953659437,-0.6998846221317128,-0.01673663344628086,-0.028974744681018794,0.03273081242323328,-0.0549512032975043,-0.00662541237052382,-0.014302474346187491,0.19179291867887086
940a0049d2dc44bfa0d0d50656491b98,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CCO,0.5001,0.9755770000000002,0.0,1.0043060040207181,0.0002451147053001662,0.0008253556720224238,0.03333333333333333,0.04821932532357388,0.01183253033272008,-0.36518199953597713,0.43813225588507565,-0.2777203560932424,0.00036691159903033134,-1.17307322957529,-0.05205207740743855,-0.10151226462448011,0.11631304344455506,-0.13475627392772702,0.03822579801920979,-0.052082483782308925,0.07880710099442209
0d25e658d159451d86425a327a2793b8,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7497,CCO,0.2503,1.0189280000000005,0.0,1.0523174393191062,0.0002976559050814788,0.0011148546580442384,0.03333333333333333,0.04821932532357388,0.015982868967942744,-0.1559725827772807,0.5118665120773421,-0.4440088541183943,-0.04043742603884446,-1.1159234785981267,0.07685480165129434,-0.08978629980892783,0.2398034222966894,-0.1954421246522259,0.04278900826104887,-0.008115000578202978,0.07352172106963117
76ae02fc56984fde9fb5c4a0387e31f5,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,0.954786,0.0,0.9775715904427188,0.00020181129835166936,0.0005191831318233171,0.03333333333333333,0.04821932532357388,0.007443154949771889,-0.4171081969084547,0.32195149848099697,-0.17258925065652292,-0.010996240184349837,-0.8603001569933428,-0.04096637593919525,-0.07599338859284382,0.030291611706266902,-0.07171522346939181,0.026013268262287427,-0.04817254350274128,0.00029829574022462906
8d5d0fe0ccfb48799913f364890405db,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7998,CCCCO,0.2002,1.0158560000000003,0.0,1.04833988007012,0.00021451705068686774,0.0010552024644099203,0.03333333333333333,0.04821932532357388,0.015127678394330032,-0.08399268234859948,0.46362992058879454,-0.3245653048201808,-0.0005803293927154257,-1.009112434674988,0.03192808231152283,-0.05965808138364046,0.2399851219542215,-0.19024250155161662,-0.012693596323220918,-0.008331462925927463,0.030817958172623238
36734771ab7c41879c12b96360ce30c1,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2002,CCCCO,0.7998,0.8748860000000002,0.0,0.8854709111568267,0.00022263602403240683,0.00011204034419791185,0.03333333333333333,0.04821932532357388,0.0016062417890237413,-0.17068598509183347,0.1697959952123492,-0.043787176631804016,-0.004871997575071367,-0.45682711869410647,-0.0487619035289321,-0.012493370549952554,0.0216779582610212,-0.0216308264376763,-0.0015459351578414606,-0.02160337022502438,0.03851483555802673
7f1aa96aacde46daa9cd08a80cc0cc19,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2501,CO,0.7499,0.9355040000000002,0.0,0.9546513285111198,0.0003416003315920756,0.0003666201891127318,0.03333333333333333,0.04821932532357388,0.005255969826479986,-0.3278750035564168,0.13195627562572504,-0.168676479212385,-0.023205639474238968,-0.7120578183642,0.0034617408558604654,-0.04871925873275489,0.06621908846592087,-0.0894695943557233,-0.01319854230298433,-0.13208316075679058,0.059422893027849887
16ca1c59f9ab4a2b8f8e3a913661c5de,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5004,CO,0.4996,0.9962350000000002,0.0,1.0242874941315852,0.0003156503432886643,0.000786942427002608,0.03333333333333333,0.04821932532357388,0.011281827281559818,-0.3692998486229929,0.300394310925307,-0.30398107594694035,-0.01837961845466298,-0.9525462454765995,0.015125162586149253,-0.08537578660320158,0.15874954928818175,-0.16000882525007892,-0.007004218940434194,-0.05910202968133502,0.07670223677581033
99e093908d364da38e465e65ecc8dd54,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7978,CO,0.2022,1.0336070000000002,0.0,1.0679660494594434,0.0002379785329924888,0.0011805442797564666,0.03333333333333333,0.04821932532357388,0.016924613803293836,-0.3610155787785331,0.3894981611689922,-0.3477721002930149,0.00035348654342187697,-0.9870533040470946,0.06381812389716497,-0.06292343480883912,0.271512663260873,-0.19872636385666223,0.016902744646022202,-0.015792833116893494,0.03260627673763491
12e4875aaedf4bd1986b1fb838c7f98a,298.15,101.3,2,CC(=O)O,0.7031,CCO,0.2969,0.97355,0.0,1.0107577418537805,0.0003090090252858171,0.0013844160538575697,0.03333333333333333,0.04821932532357388,0.019847376719705,0.03229139649771778,0.5584144091538082,-0.46151206291479885,0.01372685129238279,-0.8372119767841661,0.07747256422756756,-0.1149999004569061,0.26806385008761346,,,-0.05442432198190695,0.5797747678076698
81b0eb0e09d2497eba0fe576270f8469,298.15,101.3,2,CC(=O)O,0.4961,CCO,0.5039,0.9199600000000002,0.0,0.9465100070886951,0.0003226527243929865,0.0007049028764097509,0.03333333333333333,0.04821932532357388,0.010105685281476328,-0.2713405254494592,0.4060393636603569,-0.28353189771495674,-0.003236615433953164,-0.8194246768919958,0.024976534366863166,-0.052644547851362765,0.16692104303299604,,,-0.041980194841209975,0.46883004660699323
90d0dbe5dc30400085e4e2053509f6b9,298.15,101.3,2,CC(=O)O,0.2971,CCO,0.7029,0.8668600000000002,0.0,0.8838156391726714,0.00033032674544479534,0.00028749369975382134,0.03333333333333333,0.04821932532357388,0.004121590289029466,-0.4423603934093677,0.1987851068549868,-0.10095190834794274,-0.006470230052433497,-0.5638008780215996,-0.012610045541839173,-0.044343789219387704,0.011705283431459629,,,-0.11441677243752874,0.08594394521652893
