Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference EnthalpyOfMixing Value (kJ / mol),Reference EnthalpyOfMixing Uncertainty (kJ / mol),Estimated EnthalpyOfMixing Value (kJ / mol),Estimated EnthalpyOfMixing Uncertainty (kJ / mol),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half
0253bd2ba93141f7ba95f1f5d171629d,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.5003,CC(C)O,0.4997,2.369,0.0,2.3958960346313773,0.0566467440968864,0.000723396678892238,0.03571428571428571,1.5943650773897426,1.0163491610827217e-05,-0.007620474312491801,-0.010442893845265162,0.019203571092824265,-0.0026006764863172323,0.004140541279453595,0.007139379281001322,0.005232925973166316,-0.00023442403744100546,-0.0006162608748262517,-0.004994995365916852,0.0007461146358981763,-0.0034854062242282253
7affab06f8be4053ac31617c1205c4c3,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2494,CC(C)O,0.7506,1.955,0.0,1.9841010333383906,0.04646902578845555,0.0008468701413621174,0.03571428571428571,1.5943650773897426,1.1898254205941853e-05,-0.009524881963227025,-0.0011623541256602743,0.001804547518898809,0.0012217937498483602,0.00018110971708844555,0.0008063835963418492,1.2836316527528206e-05,-0.0005422384856842292,-0.00019243903289691537,-0.0014255475014568397,-0.0001383514947803661,-0.0007975041541134032
e00b079347a248ebaa3b0f4bf941ba45,299.15,101.32,2,CC(C)(C)O,0.2279,COC=O,0.7721,1.811,0.0,1.5804278802829614,0.03333785407790168,0.05316350239080834,0.03571428571428571,1.5943650773897426,0.0007469301785827852,-0.24910052148259534,-0.01833522739760432,-0.0014044463084191547,-0.017968069538934556,-0.04686574991347308,-0.09704939189891736,-0.017666448412058625,-0.02215463809138942,0.016706414682195612,0.013347407633015933,-0.003838817561104977,-0.021251569961601637
bea9a747159045b3ba67d0b92ecbe0ea,299.15,101.32,2,CC(C)(C)O,0.4967,COC=O,0.5033,2.4856,0.0,2.2281723571452448,0.0399074215490501,0.06626899130575532,0.03571428571428571,1.5943650773897426,0.0009310580997211886,0.2750131133203643,0.019015757212390256,0.07715961604677378,0.014289208411855922,-0.047352194982701476,-0.11104120311116653,0.01720313819393315,-0.008939768640381427,0.029741623706182226,0.03173958884659786,0.010995447202117627,-0.016576771029943115
0ce4d9c4fa6c44f6aae03c4d69a841d6,299.15,101.32,2,CC(C)(C)O,0.7127,COC=O,0.2873,1.8888,0.0,1.8725168694454268,0.04890208370409519,0.0002651403406572753,0.03571428571428571,1.5943650773897426,3.725136853114467e-06,0.014150208532459579,0.0012196327820559762,0.0024306187708938733,0.0004860425506704605,-0.005698822994499589,-0.011619526135590318,3.6756979620565505e-05,-0.00041510809194113534,0.00153084445107377,0.0022290969141077607,0.0005303520635750973,-0.00010095184682341184
4009627ced3d4bca95b1e307adedfad8,299.15,101.3,2,CC(C)(C)O,0.4947,CCCCOC(C)=O,0.5053,1.8338,0.0,1.628643700264515,0.042758671975747085,0.04208910732115616,0.03571428571428571,1.5943650773897426,0.0005913384753450062,0.6266237634785001,0.038978294990252675,0.10776093359359522,0.04732990698626376,-0.06012837147663791,-0.12203680950480017,0.017262498638708768,0.005725425827439425,0.0361783742066104,0.05545623772523094,0.003303257182590796,0.003916985356328861
9821e25080484b228e9de37a0f1d8be7,299.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,1.3567,0.0,1.177758094060973,0.04801937901840821,0.032020205701091556,0.03571428571428571,1.5943650773897426,0.00044987363298150444,0.31947620998678516,0.053843969535281574,-0.050992999956983545,0.004679786470983929,-0.029104933862390707,-0.07038118902849776,-0.009857047445761288,0.00158976824096613,0.019779718123560275,0.046584789250868223,-0.0031882277375592473,0.013954723797542196
770dadd91b564194b8756fbd90ccc155,299.15,101.3,2,CC(C)(C)O,0.7354,CCCCOC(C)=O,0.2646,1.3646,0.0,1.3824745010895825,0.05354267956020279,0.0003194977892014838,0.03571428571428571,1.5943650773897426,4.488841592692534e-06,-0.04128721283472615,-0.001597168969891154,-0.006455650997380057,-0.0014848569086992173,0.005156839534727999,0.011074222641682448,-0.0004639698967876094,0.00024736528876968957,-0.0009922940607589431,-0.0016309071510652977,-0.0003939655587800243,-1.0567989799011122e-05
51b494633cee49a087700f974f379a6f,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2507,CCO,0.7493,1.446,0.0,1.442297357486531,0.03850055515646027,1.3709561582547795e-05,0.03571428571428571,1.5943650773897426,1.9261494861396813e-07,0.0015398605367289945,-3.3098356078156714e-05,0.0006527257497391298,0.0003151982197918703,-9.598858979137721e-05,-0.00029043691180154744,0.0004121400089611186,0.00015956496375399515,0.00041604637972403633,0.0005575971403151627,9.926072181776918e-05,0.00011653982537694262
d1138816da574d9b930ea837b37f0355,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.4985,CCO,0.5015,1.848,0.0,1.8634902638949882,0.0437426776650766,0.00023994827553637152,0.03571428571428571,1.5943650773897426,3.3711964080079165e-06,0.03477185574053371,0.0018957387291663678,0.0035133226254650787,-0.0008586123951466999,0.0017151808425346158,0.0026831734175934755,0.0025432199655596724,-0.0003552511441091628,-0.0013961029557608363,-0.00475482263657618,0.0013860262285598473,7.456973185941024e-05
b20bd7993c844957b04be508b4441471,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7465,CCO,0.2535,1.473,0.0,1.4952045793928903,0.05204716756771077,0.0004930433460151652,0.03571428571428571,1.5943650773897426,6.927101073608591e-06,0.10121666646971832,0.007452758480521879,0.0004972294780001631,-0.0036696181461790384,0.004080546265114389,0.005213080327521038,-0.009413121257532076,-0.004843905542402963,-0.007903274960518654,-0.01480010005293474,5.898934565489154e-05,0.0005533986065699635
743bc59d49ea4b96816a489070d3ca9a,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,2.325,0.0,2.292292289897617,0.05591518114745608,0.0010697943001415518,0.03571428571428571,1.5943650773897426,1.503026722689603e-05,-0.04092859752252164,0.004887442392912559,-0.0298898493188978,-0.004020453910627628,0.006614233859151436,0.01954118623238438,0.0014077615026922266,0.003807772840058274,0.004134574837786724,0.011808777582457356,-0.006813545956603147,-0.007353999229019259
418a99417b2a42e68ba2fcae78a2d0ca,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.7490000000000001,CCCCO,0.251,1.784,0.0,1.713680169749182,0.058129870953130124,0.004944878526503875,0.03571428571428571,1.5943650773897426,6.94739592911076e-05,-0.2255855977841896,-0.021238946864952372,-0.014854103942190604,-0.002935774535521738,-0.009989848200910657,-0.012512783942436973,-0.00601292539773414,0.000701858733560853,0.014582720864822788,0.031968884812834095,-0.0019263528350858426,-0.0032662079007902277
07da5c69a041408aa161d8e44b218e3e,298.15,101.3,2,CCOC(=O)CC(=O)OCC,0.2499,CCCCO,0.7501,1.834,0.0,1.899776133603245,0.041975798176541214,0.004326499751791932,0.03571428571428571,1.5943650773897426,6.0785935593345115e-05,0.04205719050923737,-0.00634541321128529,0.032059337499191716,0.006089808934104821,-0.00047725129055208894,-0.009767261335708304,0.001618851980989486,0.002833159966243722,-0.0016839568167836719,0.0002951216839599827,-0.0012867436502688318,0.0017697553867326236
bba18d1b254943ebb645a1ad60bc6f86,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.2515,CO,0.7485,1.083,0.0,1.160361942341524,0.03201163200326902,0.005984870122853274,0.03571428571428571,1.5943650773897426,8.408550807650435e-05,0.04739889231476222,0.0017809126182821635,0.0019079360690979004,-0.008816196136712376,0.002849181960373663,-0.004035989059250883,-0.0071151249036184505,-0.00489673968079666,-0.0035532783011133604,-0.008514320155714848,-0.0026190647692646537,-0.006470691086924399
41480c4b91334b18b1ec2168e3d77b68,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.4993,CO,0.5007,1.426,0.0,1.4405712596450826,0.04281216057292008,0.00021232160764441435,0.03571428571428571,1.5943650773897426,2.9830505738509382e-06,0.01840866696114096,-0.00016501246497036142,0.0050760030017400265,-0.0005451113268617444,0.002311991393488308,0.002194079509989029,-0.0020479954469545315,-0.0019762386429136693,-0.0004805815642422804,-0.0018258641419324248,-0.001398746089504373,-0.0034015106930748587
cabe4dfaec7a43a48d7d3f7cf40e52a4,298.2,101.3,2,CCOC(=O)CC(=O)OCC,0.7453,CO,0.2547,1.1840000000000002,0.0,1.0665694583486953,0.053863515215997915,0.013789932112518841,0.03571428571428571,1.5943650773897426,0.00019374412881475274,-0.2784209389574278,0.0028451335582402493,-0.07814230830904861,-0.003742450647624197,-0.006351202722011486,-0.007865058520124257,0.00935320522891921,0.02334847721113793,0.014131793777774074,0.06307691827483544,-0.01633503480139652,-0.00042182408175689716
45facbfbe1ad47b2bc1c52372361d6d4,298.15,100.0,2,CCO,0.5,CC(=O)O,0.5,0.0,0.0,-0.08180639624653452,0.030854922049788156,0.006692286466845017,0.03571428571428571,1.5943650773897426,9.402448110100336e-05,-0.028841146122107534,-0.0005558794079738858,-0.005759082999413404,0.0012783624339957212,-0.0021280361926245654,-0.0033738771500264075,0.0023530547634968532,-0.001578821343976903,0.0003496413938600613,-0.0038320021282177855,,
