Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
f1ef672e682241f49bcd18822d02b712,293.15,101.0,2,CCCCCCO,0.2154,CCCCC(=O)OC,0.7846,0.8739600000000003,0.0,0.8577050174916262,0.00023061027829850012
1fb3d057d230463bada78bc500c6cc19,298.15,101.0,2,CCCC(=O)O,0.2928,CCCCC(=O)O,0.7072,0.9394000000000002,0.0,0.9483298493235882,0.0002719178217904458
14b1f8610ee148679e1327cdec32950e,298.15,101.0,2,CCCC(=O)O,0.4922,CCCCC(=O)O,0.5078,0.94281,0.0,0.9523204933897524,0.0003513969062064895
d4e037a45cbe43318a56645fad3cd893,298.15,101.0,2,CCCC(=O)O,0.7973,CCCCC(=O)O,0.2027,0.9486000000000002,0.0,0.9568923242082807,0.0002592764118659345
83412ef17ba747f7b593e38ed006f5af,298.15,101.0,2,CCCC(=O)O,0.2996,CCC(=O)O,0.7004,0.9758500000000002,0.0,0.9860350795010111,0.0003051211495650624
4ab8989deb9f44d7bf1d9634cf09c3e1,298.15,101.0,2,CCCC(=O)O,0.7993,CCC(=O)O,0.2007,0.9586300000000002,0.0,0.9666935881699557,0.0004471341788256803
668afcfd8f464f0486c06cf1172ba000,298.15,101.0,2,CCCC(=O)O,0.4999,CCC(=O)O,0.5001,0.9684300000000002,0.0,0.9776077195451318,0.00024405168803755544
afb1b0ead8e349bfafbf418591ca686f,298.15,101.0,2,COC(C)=O,0.7489,OCCO,0.2511,0.9664900000000004,0.0,0.9721940181416281,0.0002907450493123455
12a37d5411794fd6aea91431b86be4fe,298.15,101.0,2,COC(C)=O,0.4856,OCCO,0.5144,1.0118900000000002,0.0,1.0245397876735924,0.0003011810599671705
bc13837a13e14ecfaee1f2cec53d3825,298.15,101.0,2,COC(C)=O,0.2505,OCCO,0.7495,1.0569600000000003,0.0,1.0811170639356167,0.0003157305166255664
e006d7057c7c48e88534aa968e8469f5,298.15,101.0,2,CCCO,0.8,OCCCO,0.2,0.8516810000000002,0.0,0.8442597675285131,0.0003957233883695338
520126dafd8b4c76b59d76be94e3119d,298.15,101.0,2,CCCO,0.5,OCCCO,0.5,0.9283180000000002,0.0,0.9350202843927858,0.0003386760466677452
98028f587f4a47068e8b289e3a73bfc5,298.15,101.0,2,CCCO,0.3,OCCCO,0.7,0.9779230000000002,0.0,0.992715335047264,0.0003731268773982271
a60947feeea848bba7a8005a35479111,298.15,100.0,2,COC(C)=O,0.4544,CCCC(=O)OC,0.5456,0.9041900000000004,0.0,0.898164222531396,0.0002701909847054868
42dc4ba53b014bac8df365e6aec73484,298.15,100.0,2,COC(C)=O,0.7464,CCCC(=O)OC,0.2536,0.9147400000000002,0.0,0.9128849726402943,0.0002514972162438078
40b682fffe344ac0ab04007bdd3dd639,298.15,100.0,2,COC(C)=O,0.3042,CCCC(=O)OC,0.6958,0.8997600000000002,0.0,0.8913425905531657,0.00025534301393906106
