Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml)
6049d891a5114a74a45d33ac31dce617,298.15,101.0,2,OCCO,0.7998,OCC(O)CO,0.2002,1.1472000000000002,0.0,1.1627941979950418,0.0003774056520536409
b85d1c4336714723b77673899524f27d,298.15,101.0,2,OCCO,0.7757,CCCCCCO,0.2243,0.9931100000000004,0.0,1.0041444577202419,0.00026584087591178444
1ef1b8f710d4437ba7a636b161d50280,298.15,101.0,2,OCCO,0.49049,CCCCCCO,0.50951,0.9022000000000002,0.0,0.9089721641032052,0.0003093933800271962
6e6448e8d95342d59c1abdc01d4363ed,298.15,101.0,2,OCCO,0.23738,CCCCCCO,0.76262,0.8499900000000002,0.0,0.8544021649253764,0.00025762670055715347
a0c3d6272bef4e6caed97ec8a2b10045,298.15,101.0,2,CC(=O)OCC(C)C,0.249,CCCO,0.7509999999999999,0.8235000000000002,0.0,0.8335722126761127,0.00026905029537089073
5ea20f30d11448348bb17b98cb523d74,298.15,101.0,2,CC(=O)OCC(C)C,0.7509999999999999,CCCO,0.249,0.8549000000000002,0.0,0.8791088550451456,0.00023736255283201722
b45538202fa24d76befe9f6d2f45b211,298.15,101.0,2,CC(=O)OCC(C)C,0.508,CCCO,0.4920000000000001,0.8416000000000002,0.0,0.8594445738891643,0.00027563813909392147
fbea94b0f0fd4329ab129aa1caeaafe5,298.15,101.3,2,CCCO,0.5,CC(C)CCO,0.5,0.8037500000000002,0.0,0.8117157194852613,0.0002427726920479845
f85848481026413c809dcc88325d3c87,298.15,101.3,2,CCCO,0.7490000000000001,CC(C)CCO,0.251,0.8019600000000002,0.0,0.8064303616314065,0.0002558755888647734
98645cd3b8b9496c97e2d6ed2f6826b3,298.15,101.3,2,CCCO,0.251,CC(C)CCO,0.7490000000000001,0.8052500000000002,0.0,0.8160332428391315,0.0003004625077774828
ad313509a413471bb8fed1ed0800f8fa,298.15,101.3,2,CC(=O)O,0.7989,CCOC(C)=O,0.2011,0.9996600000000002,0.0,1.0505354511080287,0.00027714928881652985
b1e0dfe0dcd14250a100cf4f6c094f0c,298.15,101.3,2,CC(=O)O,0.5007,CCOC(C)=O,0.4993,0.9514000000000002,0.0,0.9945917930323217,0.0002652036409336312
c90108cd02884e389aec7764c3fe909f,298.15,101.3,2,CC(=O)O,0.2944,CCOC(C)=O,0.7056,0.9255000000000002,0.0,0.9636785132850675,0.0002620588274301266
a2b0fcec4c5e4732b34f69c2287bc45a,298.15,100.0,2,CCOC(=O)CCC(=O)OCC,0.4999,CCCO,0.5001,0.9605400000000002,0.0,0.9810379039272704,0.00021237061853092963
c1a32d412bed4e6faaa0fd346efe906c,298.15,100.0,2,CCOC(=O)CCC(=O)OCC,0.2999,CCCO,0.7001,0.9132100000000004,0.0,0.927706915151578,0.0002721353779443949
253b4257e3774cdda196e2b7b6d43dd0,298.15,100.0,2,CCOC(=O)CCC(=O)OCC,0.7001,CCCO,0.2999,0.9957400000000004,0.0,1.020726132615638,0.0002396605941515681
7b3a6c524f244ff7bc1909305e90e1a7,298.15,100.8,2,CCO,0.25,CC(C)(C)O,0.75,0.7836500000000002,0.0,0.8114924843912007,0.0003110349849013628
720fa96317d64566bc757920eda308aa,298.15,100.8,2,CCO,0.75,CC(C)(C)O,0.25,0.7844900000000002,0.0,0.8006029236244112,0.0002785384144329965
d71b06f11de44e768ff0ce65e2748403,298.15,100.8,2,CCO,0.5,CC(C)(C)O,0.5,0.7841800000000001,0.0,0.806565317059822,0.0003470421665761248
f1e691daf10a488b9d854e9821350846,293.15,101.0,2,CCC(=O)O,0.2419,CCC(C)(C)O,0.7581,0.8378500000000002,0.0,0.8661344556316042,0.00040181120021365855
7e61064451af4e60a4454c60f579b723,293.15,101.0,2,CCC(=O)O,0.4806,CCC(C)(C)O,0.5194,0.8768500000000002,0.0,0.9090566355066948,0.0003297199709464844
94c6799c1ca4476bb5b30fb98eeab6d1,293.15,101.0,2,CCC(=O)O,0.7218,CCC(C)(C)O,0.2782,0.9230300000000002,0.0,0.960150772475769,0.00035717289288287815
b9972f94074e407eb3143001561fc0dc,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.5,O=C1CCCO1,0.5,1.0653,0.0,1.0874327268206052,0.00021854793977927673
0dcb91475fc24db7992106b2bea16a6e,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.7001,O=C1CCCO1,0.2999,1.0511,0.0,1.0765603974224915,0.0002455351615093051
9a8d1ea7ccd1424981e5b550f798d5ee,298.15,101.0,2,CCOC(=O)CCC(=O)OCC,0.2,O=C1CCCO1,0.8,1.0949000000000004,0.0,1.1112374101942282,0.00026424184099679176
5c3b651804d04c7a901cbdca70cb2869,298.2,101.0,2,CC(C)CCO,0.7002,CCCCCCO,0.2998,0.8111700000000002,0.0,0.8188799426807345,0.0003042881657999247
79342491204c46ddaa97bfd282c4bc80,298.2,101.0,2,CC(C)CCO,0.2005,CCCCCCO,0.7995,0.8144900000000002,0.0,0.818455465310277,0.00022954745488014533
bf723ea0f4fb48b2a066138684340aff,298.2,101.0,2,CC(C)CCO,0.4998,CCCCCCO,0.5002,0.8125500000000001,0.0,0.8185783916345598,0.0002890235950639141
534e69b3d3ba4804ab7f27a03c4eb437,298.15,101.0,2,COC(C)=O,0.5026,CCCO,0.4974,0.8619000000000002,0.0,0.8796461853583444,0.00029831042063272617
b597fa63ac2547608fa7748fe7aa7fbb,298.15,101.0,2,COC(C)=O,0.7047,CCCO,0.2953,0.8880000000000002,0.0,0.9133858339035364,0.000264469890288635
f5654b72708842e697853590ab0b44e6,298.15,101.0,2,COC(C)=O,0.2377,CCCO,0.7623,0.8285000000000002,0.0,0.8369492007008055,0.00018919973121614734
862d433243594202b6335795eebce6b1,303.15,101.0,2,COCCO,0.5367,CC(C)CCO,0.4633,0.8708000000000001,0.0,0.8905365941656156,0.0003103847705338485
41f2853f414a4b1b84c2f09b8b6a969c,303.15,101.0,2,COCCO,0.2246,CC(C)CCO,0.7754,0.8278000000000002,0.0,0.8432110010926653,0.00024239355144145728
59a3cc8b54ba48a89fdc04989cc1bbac,303.15,101.0,2,COCCO,0.7299,CC(C)CCO,0.2701,0.9032000000000002,0.0,0.925660890393494,0.0002946366257091349
32fa901e749d4bc29344cedd6f22c49a,303.15,101.0,2,CCCCO,0.5,CC(C)CO,0.5,0.7982090000000002,0.0,0.805496769176366,0.00023779550129824872
37a143ad9d804168ae392f79fe5297d1,303.15,101.0,2,CCCCO,0.2029,CC(C)CO,0.7971,0.7957400000000002,0.0,0.8076619678956536,0.000237543782417862
e1833f4011644554b5c96e124857729c,303.15,101.0,2,CCCCO,0.7993,CC(C)CO,0.2007,0.8006350000000002,0.0,0.8033969302674328,0.00020904872976756976
cc1551bf742b40a482173a969dea8a10,298.15,101.0,2,CCCC(=O)O,0.8,CC(C)C(=O)O,0.2,0.95106,0.0,0.9921103306868052,0.00029349927511753814
e13633a7062647abb9e8714075fcc22c,298.15,101.0,2,CCCC(=O)O,0.3,CC(C)C(=O)O,0.7,0.9461600000000002,0.0,0.99291310879137,0.0002854867892087805
0ef0bcce6b1a41d5bc17205f710cd947,298.15,101.0,2,CCCC(=O)O,0.5,CC(C)C(=O)O,0.5,0.9481500000000002,0.0,0.9922172572874646,0.0003206717509716222
2815b12a853a48f8a583707856b12252,293.15,101.3,2,CCCO,0.4997,CCCCCC(=O)OCC,0.5003,0.8413500000000003,0.0,0.8587701985663957,0.00020668397072667294
