Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,Environment 1,Environment 2
74967cdda79c417b8ab64f869bcfafd4,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CC(C)O,0.5001,0.9563730000000004,0.0,0.9550266936381563,0.00022963816197735983,1.812540819941827e-06,0.023809523809523808,0.04821932532357388,1.8560781004788018e-05,0.027976506273431404,-0.01364763673955122,0.009060360270792257,0.000580586544194396,0.040424320627403955,0.003493055046621964,0.0036496497508248732,-0.0021642983478660496,0.005017387417919864,0.00034737825935044744,0.0014032174041448489,-0.0017335530686979907,ester,alcohol
83c71ad91eb2428fb41bdf0090581913,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2,CC(C)O,0.8,0.8674040000000002,0.0,0.8673384370727043,0.00028076517806509103,4.298497435603563e-09,0.023809523809523808,0.04821932532357388,4.4017474626828675e-08,0.0012356981977937652,-0.0008031436392453725,0.00029364048539749256,3.939106200251548e-05,0.0020937366441259957,0.0001482594035940123,7.650501737106878e-05,-8.503008007253694e-05,0.0001047827509638602,-3.546779185603047e-05,-7.498624776179835e-06,-0.00039749717460878177,ester,alcohol
e9352488fdff41d48249242a23255c44,299.15,101.3,2,CC(C)(C)O,0.2618,COC=O,0.7382,0.8891964273308677,0.0,0.9228476451139797,0.00032326696596282845,0.0011324044582864316,0.023809523809523808,0.04821932532357388,0.011596048446387345,-0.05939143812611773,0.25029215207444344,-0.3309135529808671,0.057347750649076615,-0.8104202078702479,-0.02234491772419985,-0.11230430831270533,0.17748116226827185,-0.1762353819397371,0.05830791033775078,-0.024361605243911726,0.06182397992530865,alcohol,ester
f89fbde314ad4a919d1c5a42265c6aeb,299.15,101.3,2,CC(C)(C)O,0.5024,COC=O,0.4976,0.8409570497216361,0.0,0.8660300202358189,0.0003651405904942987,0.0006286538504050791,0.023809523809523808,0.04821932532357388,0.006437541332481511,-0.32478360813800466,0.24564215870435335,-0.11213120950539215,0.035847451332846066,-0.6686883937164056,-0.03428848451353642,-0.066209843603267,0.033074057550368165,-0.07809614742223284,0.016392338037461786,-0.006947827753018457,0.10301965985943395,alcohol,ester
43e062c05d5c443ea9686a7f8fc9cc01,299.15,101.3,2,CC(C)(C)O,0.7581,COC=O,0.2419,0.8035019431958534,0.0,0.8193729649301221,0.00045171922595236625,0.00025188933088962905,0.023809523809523808,0.04821932532357388,0.002579397195719455,-0.7553251395145981,0.1827632401377065,-0.04764344454663748,0.003786673663876387,-0.5598982961905067,-0.050049628088580565,-0.018262161289614453,0.008641919732341028,-0.02926251839029326,0.0016419524624671966,-0.025285031003190225,0.05278355798959145,alcohol,ester
f43a90ae27ae479896118e83070611ae,303.15,101.3,2,CC(C)(C)O,0.4973,CCCCOC(C)=O,0.5027,0.8266077003431636,0.0,0.8183276575164027,0.00024957277408543317,6.855910921299414e-05,0.023809523809523808,0.04821932532357388,0.0007020590090912101,0.18063542780424,-0.11347187083041195,0.03653727742013773,0.002571170592147558,0.2810001051058682,0.031291216903638626,0.013678178096128679,-0.004237282683926219,0.015353915625811048,-0.0036379835941889403,0.012393608445537455,7.40004143948122e-05,alcohol,ester
1051462bef374aae8248154179ad5c8e,303.15,101.3,2,CC(C)(C)O,0.2394,CCCCOC(C)=O,0.7606,0.8504597383810222,0.0,0.8350227868285526,0.00020823725806853386,0.00023829947323329365,0.023809523809523808,0.04821932532357388,0.0024402343315950608,0.5782243336200278,-0.17122867147319365,0.09559780873552427,0.007519394038738595,0.5188378018916054,0.06517243714595997,0.020025567242731482,-0.041216837594757735,0.0475433804198586,0.005891491408001546,-0.001665828106693245,-0.022785312793884294,alcohol,ester
133ff32344f945b6bf350c87928f7115,303.15,101.3,2,CC(C)(C)O,0.7538,CCCCOC(C)=O,0.2462,0.8010966665339349,0.0,0.7996674539836671,0.0003885451487671117,2.042648513842798e-06,0.023809523809523808,0.04821932532357388,2.091712987540258e-05,0.061692144833852866,-0.017031989718876407,0.003141705370144841,0.0001990817708632124,0.04950600380988295,0.006047682772646361,0.00023134970133050232,-0.0020761005278488033,0.0014650991213968397,-0.00010842969734428407,0.0011386393719834687,-0.004333398759568428,alcohol,ester
9c1d832e5f4b432d96bd5c259ca49856,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2001,CCO,0.7999,0.8893660000000002,0.0,0.8838078751111598,0.00028757456362994076,3.089275227994759e-05,0.023809523809523808,0.04821932532357388,0.0003163479704262196,0.10317946968602684,-0.05078948118030446,0.01944143410101117,-0.00020089474348529876,0.16947708720989255,0.009314211097128152,0.005219127219544142,-0.011759042316079578,0.011194430260980257,-0.0012564323947833647,0.010322901928495661,-0.02561669435240157,ester,alcohol
940a0049d2dc44bfa0d0d50656491b98,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.4999,CCO,0.5001,0.9755770000000002,0.0,0.9708016530275064,0.00025085447260665575,2.2803938707705905e-05,0.023809523809523808,0.04821932532357388,0.00023351689945053062,0.028980039397668498,-0.05166940220283504,0.04068980310463615,0.004674939746488171,0.14622174902587054,0.0076561547823027765,0.012508137939525604,-0.014890498462582039,0.021176079389779646,0.003456336720606488,0.005404984897890554,-0.009577801872011047,ester,alcohol
