Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_v_excess,Pure Density,Slope,1.001593782519017,0.008955353311773414,0.9850390863007613,1.0197802523466848,alcohol
h_mix_v_excess,Pure Density,Intercept,0.005153170076883318,0.009405479150775003,-0.013732307957200707,0.023300683423129298,alcohol
h_mix_v_excess,Pure Density,R,0.9989011990156434,0.00038644915858565635,0.9980336245739831,0.9994968866284257,alcohol
h_mix_v_excess,Pure Density,R^2,0.9978036053948901,0.0007719288783251607,0.9960711157802823,0.9989940263799161,alcohol
h_mix_v_excess,Pure Density,p,4.294935283726057e-36,5.691431432711064e-32,1.687439991223461e-40,8.270633423131326e-33,alcohol
h_mix_v_excess,Pure Density,RMSE,0.009388647579121176,0.0012429347733132015,0.006800135725763382,0.011728237317221724,alcohol
h_mix_v_excess,Pure Density,MSE,0.0066987722088258095,0.0012882793574228767,0.004166997746162114,0.009198550780901862,alcohol
h_mix_v_excess,Pure Density,MUE,0.007412377569859201,0.001110943818325653,0.00527379712783313,0.009632558129154803,alcohol
h_mix_v_excess,Pure Density,Tau,0.9113573407202216,0.05777595494422247,0.7258117669812438,0.9471519046225182,alcohol
h_mix_v_excess,Pure Density,Slope,1.0251913450774268,0.046795792117414775,0.9224011815281149,1.102015008190289,ester
h_mix_v_excess,Pure Density,Intercept,-0.0026443419838234616,0.04393121637336783,-0.07401790852865942,0.09374255874835724,ester
h_mix_v_excess,Pure Density,R,0.9823781823912364,0.00288971865457396,0.9773746106515684,0.9890816369284711,ester
h_mix_v_excess,Pure Density,R^2,0.9650668932383094,0.00568174966734725,0.9552611295463049,0.9782824845091038,ester
h_mix_v_excess,Pure Density,p,4.351444886504086e-38,7.023289443671441e-35,3.445761947491521e-43,2.1411584468421538e-35,ester
h_mix_v_excess,Pure Density,RMSE,0.028433080991550782,0.003306564786326078,0.022115865534187543,0.0346832981240184,ester
h_mix_v_excess,Pure Density,MSE,0.021732281082373597,0.002498027975881943,0.0171220217345728,0.02691417273085014,ester
h_mix_v_excess,Pure Density,MUE,0.021906753292827704,0.0024712119694367423,0.017360895012536327,0.027045483739169564,ester
h_mix_v_excess,Pure Density,Tau,0.9074787972243639,0.02349621725397521,0.8414860263460126,0.9333006912998669,ester
openff-1.0.0,Pure Density,Slope,1.0266890582179629,0.012439278572061778,1.0045508751509482,1.0555522323038316,alcohol
openff-1.0.0,Pure Density,Intercept,-0.011280453103864718,0.01239419667174411,-0.03775252285345421,0.012019726925698748,alcohol
openff-1.0.0,Pure Density,R,0.9983255145089992,0.0004700248075178682,0.9972239408820863,0.9990818027578546,alcohol
openff-1.0.0,Pure Density,R^2,0.9966538329196579,0.0009382921961171421,0.9944555882683987,0.9981644486018847,alcohol
openff-1.0.0,Pure Density,p,1.023465871641684e-33,3.263230309098732e-30,4.262598494680809e-37,7.657259398820348e-31,alcohol
openff-1.0.0,Pure Density,RMSE,0.01721701788007747,0.0015152401390472205,0.014187048556834147,0.020092371004423005,alcohol
openff-1.0.0,Pure Density,MSE,0.014601789165085319,0.0017284011273616148,0.01125025469614746,0.01788191723949899,alcohol
openff-1.0.0,Pure Density,MUE,0.014655018177565269,0.00171191532673663,0.011386182862299076,0.017906015720317556,alcohol
openff-1.0.0,Pure Density,Tau,0.8891966759002771,0.06382522166252314,0.6976514428272617,0.9456755413789367,alcohol
