Id,Temperature (K),Pressure (kPa),N Components,Component 1,Mole Fraction 1,Component 2,Mole Fraction 2,Reference Density Value (g / ml),Reference Density Uncertainty (g / ml),Estimated Density Value (g / ml),Estimated Density Uncertainty (g / ml),Delta^2,Weight,Denom,Term,d Term / d [#1:1]-[#6X4] epsilon,d Term / d [#1:1]-[#6X4] rmin_half,d Term / d [#6X4:1] epsilon,d Term / d [#6X4:1] rmin_half,d Term / d [#8X2H1+0:1] epsilon,d Term / d [#8X2H1+0:1] rmin_half,d Term / d [#8X2H0+0:1] epsilon,d Term / d [#8X2H0+0:1] rmin_half,d Term / d [#6:1] epsilon,d Term / d [#6:1] rmin_half,d Term / d [#8:1] epsilon,d Term / d [#8:1] rmin_half
76e56e66d12e49bfb3a4f9748a5fbc5f,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7998,CCCCO,0.2002,1.0158560000000003,0.0,1.0191309184291777,0.00020222314403453692,1.072509071776561e-05,0.010101010101010102,0.04821932532357388,4.659330536387166e-05,0.0027825247587270996,0.014453619230099253,-0.03181845937984429,0.0028426286740311168,-0.00025368732420301036,0.0011074948143610316,-0.005420590584151395,0.0005536687158418709,-0.011565484910496613,-0.0007824410310485503,-0.0018831578885866065,0.007716739385650462
123cfb5de3104e47a8dd9631afc18791,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5,CCCCO,0.5,0.954786,0.0,0.9567105497622019,0.0002255271281148111,3.7038917871914296e-06,0.010101010101010102,0.04821932532357388,1.6090918540155714e-05,-0.0006648072577234433,0.00995685551935461,-0.02385490397395055,0.0006592345294250899,-0.0005265243178266358,0.0018685715797297502,-0.002532698211832173,-0.00012384142335381825,-0.005289070759416811,-0.0007064607912399415,-0.001452555494153467,0.0021074838128233536
0703f2f32fe347e5bb7f3d429e077382,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2002,CCCCO,0.7998,0.8748860000000002,0.0,0.8747825689103356,0.00033356431635345337,1.0697990309205747e-08,0.010101010101010102,0.04821932532357388,4.647557231668878e-08,0.0007087064067373937,-0.0005336189285761148,0.0014999383853083737,2.0179633640932785e-05,4.498197844021256e-05,-0.0001704048042380114,7.937366550114455e-05,1.9442187310078934e-05,0.00017022612124550923,3.0223137840270273e-05,3.0392019879792473e-05,-8.07805241759323e-05
bf1d16beed9a4abf83e92e18ee3453f2,299.15,101.3,2,CC(C)(C)O,0.2618,COC=O,0.7382,0.8891964273308677,0.0,0.9278924601528137,0.00039397172644537793,0.0014973829561571222,0.010101010101010102,0.04821932532357388,0.0065051217895358395,-0.2863575146082196,0.07607224055923534,-0.38454967589739003,-0.015818499891828746,-0.020334507454794058,0.0059790084400685945,-0.08312785188156885,0.006142419246706963,-0.13146803726826864,0.0307294642954514,-0.09666976604065569,-0.0015556218061357969
e6abadd5f6a64147a4882dd0c6f75530,299.15,101.3,2,CC(C)(C)O,0.5024,COC=O,0.4976,0.8409570497216361,0.0,0.8799673006554432,0.0003132706371246275,0.0015217996779185942,0.010101010101010102,0.04821932532357388,0.006611196022654677,-0.2541782257298537,0.1541960152299945,-0.47457404859235325,-0.02014420847747038,-0.02540923122460629,0.020784740510948762,-0.059342669023073766,0.006366575752464726,-0.08857904709093639,0.02056201059766622,-0.06551593056876963,-0.007893725480358252
98b612b5aa8a47f6907ac50dda9626d7,299.15,101.3,2,CC(C)(C)O,0.7581,COC=O,0.2419,0.8035019431958534,0.0,0.8391712613355284,0.00025573723277543144,0.001272300256549348,0.010101010101010102,0.04821932532357388,0.005527288852647219,-0.22364344549765466,0.20254090202920608,-0.4576788857447491,-0.008650991832605587,-0.004610272053092508,0.07473745699456259,-0.02023149233174423,0.000869057921816333,-0.03471422983436187,0.004218481296273572,-0.012469942618097118,0.014284855948638478
7a160f8d3bce4164b45817907b6dc563,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.7978,CO,0.2022,1.0336070000000002,0.0,1.036264810152671,0.00019570109098580754,7.063954807640293e-06,0.010101010101010102,0.04821932532357388,3.0688132351531544e-05,-0.00900307100873441,0.007645799313373302,-0.02198704723680163,0.0016143715175289492,-0.00030421851429738786,0.0006228313258202791,-0.004287908721152626,8.311368764365964e-05,-0.00815191080299912,-0.0001526077926287203,-0.0016433457482560815,0.0057806812996997765
ae5d7556f7ba4c9d96e6a98fb1b18a14,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.5004,CO,0.4996,0.9962350000000002,0.0,0.9981832046216949,0.0002848900754351811,3.795501247992391e-06,0.010101010101010102,0.04821932532357388,1.64889000298832e-05,-0.005038746779712661,0.0057839496454742375,-0.01877171390984621,0.0018471695587376899,-0.00047729913136400673,0.0028393267934735253,-0.0026595814475116105,0.0008308964898963002,-0.005698306514574971,-9.958906912009952e-05,-0.0008396476334916095,0.004437840130519489
c3cd0629eac3466593d33feb332affda,298.15,101.0,2,CCOC(=O)CC(=O)OCC,0.2501,CO,0.7499,0.9355040000000002,0.0,0.9371954382386674,0.0002843449883985431,2.860963315225367e-06,0.010101010101010102,0.04821932532357388,1.24289612917047e-05,-0.002577465737121031,0.00397889436499763,-0.01693436261930122,0.0023450939049411445,-0.0011363365812601992,0.005034453050378023,-0.001824760500878737,0.00045620794279523514,-0.004516908852229914,-0.00043597162699495027,-0.001414412908489652,0.0015630357655012676
281146ce87f240bcb6863b84773e583e,298.15,101.0,2,CCCO,0.85,CC(C)CC(C)(C)C,0.15,0.7675600000000001,0.0,0.7694673488230622,0.00026204892735291497,3.6379795328363544e-06,0.010101010101010102,0.04821932532357388,1.5804574128233856e-05,-0.03872509325100943,0.007039025591929695,-0.02980605986819633,-0.002831789124600425,-0.0011212021155003317,0.0033752448634938098,,,,,,
