Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI
h_mix_rho_x_rho_pure_h_vap,Pure Density,Slope,1.0613625908837794,0.052326671816244834,0.931567909507219,1.1339015392551748
h_mix_rho_x_rho_pure_h_vap,Pure Density,Intercept,-0.047639991847494345,0.041616169652374455,-0.1060551711639296,0.0555212432506218
h_mix_rho_x_rho_pure_h_vap,Pure Density,R,0.9828468466112766,0.007535664642564543,0.965054011156305,0.9940257362012777
h_mix_rho_x_rho_pure_h_vap,Pure Density,R^2,0.9659879238937303,0.014744372192367686,0.9313292444488735,0.988087164230492
h_mix_rho_x_rho_pure_h_vap,Pure Density,p,1.204034513483458e-17,1.1512344608697994e-12,1.1982066893358832e-22,2.894507553826613e-14
h_mix_rho_x_rho_pure_h_vap,Pure Density,RMSE,0.02161792894356327,0.0025625225726954156,0.016332930055360646,0.0262971559648577
h_mix_rho_x_rho_pure_h_vap,Pure Density,MSE,0.0029788863462299614,0.0044537541358282435,-0.005522565141773674,0.011804294763992288
h_mix_rho_x_rho_pure_h_vap,Pure Density,MUE,0.017347495542742716,0.0026161364508625515,0.012291254220645245,0.022501675838077256
h_mix_rho_x_rho_pure_h_vap,Pure Density,Tau,0.8478260869565217,0.08004348143370947,0.6371943884132881,0.9426397000375306
openff-1.0.0,Pure Density,Slope,1.1199924473658553,0.05659782944144035,0.9884391800110977,1.2173374796875767
openff-1.0.0,Pure Density,Intercept,-0.08168983022532106,0.044659409555957326,-0.15855894392761682,0.02275759176296699
openff-1.0.0,Pure Density,R,0.9823831828569555,0.006660167463179009,0.9677715746932937,0.9934415400754617
openff-1.0.0,Pure Density,R^2,0.9650767179601624,0.013052494281784663,0.9365818207843373,0.9869260935475052
openff-1.0.0,Pure Density,p,8.818778339348601e-17,3.910144731261672e-13,3.0864343842477762e-21,4.752858967970147e-14
openff-1.0.0,Pure Density,RMSE,0.030991067692799624,0.005479163601985878,0.019732293292579382,0.041446121081715394
openff-1.0.0,Pure Density,MSE,0.01752282594375662,0.0053067281765518315,0.007645094372821266,0.02870372480808826
openff-1.0.0,Pure Density,MUE,0.022625323004337755,0.004457677208636568,0.014683332447032016,0.03221414177473878
openff-1.0.0,Pure Density,Tau,0.8893280632411068,0.06759296853489595,0.7061278926586273,0.9638049111339819
rho_pure_h_vap,Pure Density,Slope,1.0469337902151414,0.04099217762404936,0.9443652203090807,1.1071223563939403
rho_pure_h_vap,Pure Density,Intercept,-0.03617155695069929,0.033392401586720154,-0.08639331658863958,0.045955317134707685
rho_pure_h_vap,Pure Density,R,0.9882436138083321,0.00466225566911914,0.9775903293393949,0.9953141068068269
rho_pure_h_vap,Pure Density,R^2,0.976625440232952,0.009191592933602801,0.9556828520179067,0.9906501712086715
rho_pure_h_vap,Pure Density,p,1.294653123186993e-18,8.414443963627129e-15,8.931050105029449e-23,1.1164479182508907e-15
rho_pure_h_vap,Pure Density,RMSE,0.01786841261464689,0.001936065613326915,0.013892626481398693,0.02150282897155709
rho_pure_h_vap,Pure Density,MSE,0.002591576659678506,0.003780129349322697,-0.004490411056282759,0.009946334489299125
rho_pure_h_vap,Pure Density,MUE,0.015315729554771592,0.0018890475208106375,0.011649222556584984,0.01907818624112816
rho_pure_h_vap,Pure Density,Tau,0.8735177865612648,0.06701718938256396,0.6922664319492404,0.9537708815995941
