Study,Property,Statistic,Value,Std,Lower 95% CI,Upper 95% CI,Environment
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,Intercept,-0.4874827527958856,0.15191652645436432,-0.7655291937561025,-0.15469449716855146,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,R,0.7321218387305709,0.0690865321077666,0.6038570003163046,0.8687331925585254,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,R^2,0.5360023867462321,0.10173923494348702,0.3646432768310055,0.7546973598529281,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,p,0.001261706619171758,0.004376897501200121,1.2683893535360889e-05,0.013679278641281427,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,RMSE,0.4490454046257993,0.10838137253901509,0.19759469368972435,0.632110127661035,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,MSE,-0.2601116616830561,0.08980185717847333,-0.45192868781795703,-0.09219958264872323,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,MUE,0.26378787891658284,0.08817208668944132,0.10747312009348953,0.46251156321084325,ester_ester
h_mix_rho_x_rho_pure,Binary Enthalpy Of Mixing,Tau,0.7,0.11751223874363353,0.40723560851286184,0.8549819600709617,ester_ester
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,1.6499013352429863,1.6853388496386377,1.1014513380875341,2.0552383566507992,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,0.12055359234322516,0.11047685145716078,-0.007000492056985053,0.19731372627253593,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.9866151342539767,0.08540357963886396,0.888481318718958,0.9979478126854517,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.9734094231389925,0.0982621201016659,0.7893990537125786,0.9958998368436774,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,0.0002675329662164824,0.058389999447572304,6.338170867617313e-06,0.018082933985904326,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.2882162327579385,0.055116623312498954,0.17252267229486684,0.3858743218508546,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,0.26096369265358027,0.053038792131219537,0.16399459071041114,0.36825366708939306,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,0.26096369265358027,0.05303763536903974,0.16399459071041114,0.36825366708939306,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.9999999999999999,0.15275649028886257,0.38924947208076144,0.9660917830792959,ether_ketone
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,1.0231157321035402,0.08553838188976665,0.8528286337427121,1.1823602818407128,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,0.25954747706969605,0.08777141441117242,0.09667174477957485,0.44557875420090454,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.928785975590083,0.031262894018187326,0.8339295404226951,0.9570391726749407,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.8626433884528223,0.055850910111137714,0.6954384783896074,0.9159239780343349,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,1.3620252634971093e-13,9.647589511527173e-08,1.4252492488659836e-16,1.0623254103615042e-08,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.2944450481724988,0.017207953366242593,0.2635251599549012,0.3295045041207677,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MSE,0.28181933084657645,0.01738089717277384,0.24781122797029145,0.31531141443312244,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,MUE,0.28181933084657645,0.017379353396460434,0.24781122797029145,0.31531141443312244,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Tau,0.7793103448275862,0.06614542350436316,0.5958740932160154,0.8495726633438999,ester_alkane
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Slope,0.9940099110335988,0.04984521340764398,0.9024376734836304,1.1008275931091025,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,Intercept,0.16051669801830443,0.023940415648606706,0.1145895246912986,0.20709701194489588,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R,0.9721335510327057,0.00956312140086646,0.9484134711777223,0.9860495480703707,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,R^2,0.9450436410434583,0.018498533094451007,0.8994881123113764,0.9722937112497824,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,p,8.104403995258556e-20,1.0526078695391827e-15,3.930092686941498e-24,5.722693202139743e-16,alcohol_alcohol
h_mix_rho_x_rho_pure_h_vap,Binary Enthalpy Of Mixing,RMSE,0.20485911263528864,0.02766298345177614,0.1543982571339403,0.260833067560159,alcohol_alcohol
